"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.295384375E0,1.605168581E-1,-2.159857154E-1,9.835954666E0,9.839635140E0
1.300348437E0,1.452801675E-1,-2.021759599E-1,9.801402092E0,9.804563448E0
1.305310937E0,1.464772671E-1,-1.831468493E-1,9.787841797E0,9.790650918E0
1.310275000E0,1.158027500E-1,-2.212721258E-1,9.823850632E0,9.827024619E0
1.315237500E0,1.056034490E-1,-2.341912389E-1,9.829912186E0,9.833268592E0
1.320200000E0,1.347552538E-1,-2.262999415E-1,9.816705704E0,9.820238363E0
1.325164062E0,1.227650866E-1,-2.154302746E-1,9.843952179E0,9.847074488E0
1.330126562E0,1.150749102E-1,-1.410088986E-1,9.888675690E0,9.890350481E0
1.335090625E0,8.492712677E-2,-1.796130091E-1,9.794497490E0,9.796512366E0
1.340053125E0,1.295550317E-1,-2.261467129E-1,9.791068077E0,9.794536280E0
1.345015625E0,1.459217966E-1,-2.134191394E-1,9.885084152E0,9.888464471E0
1.349979687E0,1.119816080E-1,-1.999158412E-1,9.837650299E0,9.840318574E0
1.354943750E0,1.574331224E-1,-2.295081764E-1,9.804332733E0,9.808282191E0
1.359906250E0,1.030655950E-1,-2.235514075E-1,9.798317909E0,9.801409674E0
1.364868750E0,1.346116066E-1,-1.941793412E-1,9.792361259E0,9.795211327E0
1.369831250E0,1.101428494E-1,-2.169625610E-1,9.794851303E0,9.797873047E0
1.374795312E0,1.354926676E-1,-1.822945029E-1,9.790790558E0,9.793424799E0
1.379757812E0,1.965543777E-1,-2.495524287E-1,9.766322136E0,9.771486995E0
1.384721875E0,1.789330542E-1,-2.356277555E-1,9.766188622E0,9.770669254E0
1.389684375E0,1.607275605E-1,-2.273150831E-1,9.806659698E0,9.810610579E0
1.394648437E0,1.408652514E-1,-2.146353871E-1,9.805003166E0,9.808363699E0
1.399612500E0,1.052874178E-1,-2.180926204E-1,9.785035133E0,9.788031589E0
1.404573437E0,9.676405042E-2,-2.302838862E-1,9.819645882E0,9.822822364E0
1.409537500E0,1.288655102E-1,-1.570883691E-1,9.794927597E0,9.797034741E0
1.414500000E0,1.082179174E-1,-2.202474028E-1,9.777996063E0,9.781074943E0
1.419462500E0,1.327441186E-1,-1.861252487E-1,9.788999557E0,9.791668701E0
1.424428125E0,1.583333462E-1,-1.870924979E-1,9.788951874E0,9.792019804E0
1.429389062E0,1.639740914E-1,-2.522051930E-1,9.791115761E0,9.795735950E0
1.434353125E0,1.277258694E-1,-2.102013379E-1,9.770315170E0,9.773410716E0
1.439315625E0,1.282238662E-1,-2.002989203E-1,9.816198349E0,9.819078931E0
